,Address,Baths,Beds,Latitude,Location,Longitude,Price
49,130 Leacrest Rd,4 baths,4+1 beds,43.699509287601,Leaside,-79.36340796784538,"$2,399,900 CAD"
50,1968 Bonnymede Dr,2 baths,4 beds,43.50978744759428,Mississauga,-79.62451457404337,"$745,000 CAD"
51,77 Nearco Cres,3 baths,3 beds,43.95961829473684,Windfields,-78.89934876842105,"$599,000 CAD"
52,855 Thompson Rd,3 baths,3 beds,41.987099165708784,Beaty,-71.84394675979456,"$750,000 CAD"
53,232 Ray Snow Blvd,3 baths,3 beds,44.056735514965496,Newmarket,-79.50150832396668,"$930,000 CAD"
54,6949 Lundy's Lane,3 baths,3+1 beds,37.7458733,Niagara Falls,-122.4176106,"$689,000 CAD"
55,38 Sarum Cres,3 baths,3+1 beds,43.899485140330455,Markham,-79.30877862572765,"$1,128,000 CAD"
56,6949 Lundy's Lane,3 baths,3+1 beds,37.7458733,Niagara Falls,-122.4176106,"$689,000 CAD"
57,38 Sarum Cres,3 baths,3+1 beds,43.899485140330455,Markham,-79.30877862572765,"$1,128,000 CAD"
58,68 Woodroof Cres,3 baths,3 beds,44.009189883965654,Aurora,-79.45646808488397,"$739,900 CAD"
59,9 Weldon Crt,2 baths,2+1 beds,43.7126551,Toronto,-79.4984896,"$1,098,800 CAD"
60,768 Henderson Dr,2 baths,3 beds,51.5263628,Innisfil,-0.175326,"$669,000 CAD"
61,79 Vail Meadows Cres,2 baths,3 beds,43.903933282507744,Clarington,-78.70186569425215,"$399,900 CAD"
62,10 Sedan Crt,4 baths,4 beds,43.79110036,Vaughan,-79.60876348,"$1,199,800 CAD"
63,2106 Blue Ridge Cres,4 baths,3+1 beds,43.86332195465971,Pickering,-79.08728367754863,"$779,900 CAD"
64,18 Armando Dr,3 baths,4+1 beds,43.88963554475244,Wismer,-79.2824830462035,"$1,238,000 CAD"
65,20 Jellystone St,4 baths,4 beds,43.80482,Brampton,-79.7394472,"$1,299,900 CAD"
66,253 Glen Hill Dr,3 baths,3 beds,43.89203645,Whitby,-78.91823353333334,"$749,000 CAD"
67,207 Woodhall Rd,4 baths,4+3 beds,53.8050421,Milliken Mills East,-1.7060519,"$988,000 CAD"
68,10 Cedarwood Cres,4 baths,4+1 beds,-38.064929,Brampton West,145.3383236,"$849,900 CAD"
69,92 Fred Jackman Ave,4 baths,4 beds,43.9395539,Fred Jackman Ave,-78.7105812,"$714,900 CAD"
70,16 Simnick Cres,3 baths,3 beds,43.916666995469456,Courtice,-78.77558873515457,"$560,000 CAD"
71,616 O'Connor Dr,2 baths,3 beds,30.5079097,East York,-97.7443906,"$799,900 CAD"
72,201 College Ave,3 baths,2+1 beds,42.998417511111114,Oshawa,-81.2551511111111,"$519,000 CAD"
73,1051 Stonehaven Ave,4 baths,4 beds,44.036403423771766,Newmarket,-79.42850652186095,"$1,428,000 CAD"
74,72 Stratton Cres,4 baths,4+2 beds,43.90978958656611,Rolling Acres,-78.93163443051984,"$869,900 CAD"
75,117 Pine Hills Rd,2 baths,3+1 beds,34.82713378076385,Pine Hills Rd,-82.05904213748106,"$649,900 CAD"
76,225 Spring Gate Blvd,4 baths,4+1 beds,43.80815565319149,Vaughan,-79.43466570851064,"$1,398,000 CAD"
77,46 Mcbeth Pl,4 baths,4 beds,43.9622265261025,Whitby,-78.94754557420245,"$899,900 CAD"
78,2121 Glenhampton Rd,3 baths,3 beds,43.43936083409701,Oakville,-79.75351857194455,"$888,000 CAD"
79,95 Emily St,1 baths,2 beds,42.317322494421504,Clarington,-71.82307428036809,"$399,900 CAD"
80,57 De Grassi St,2 baths,2 beds,43.66136389375,Toronto,-79.34634039687501,"$1,098,000 CAD"
81,259 Holdcroft St,2 baths,3 beds,44.485609158349355,Tweed,-77.32163081643229,"$389,900 CAD"
82,43 North Alarton St,2 baths,3 beds,43.70306961428572,Mississauga,-79.64776429999999,"$775,000 CAD"
83,98 Joan St,2 baths,3 beds,40.077385,Georgina,-80.705538,"$549,000 CAD"
84,32 Sedgeway Hts,4 baths,3+1 beds,43.84407978038782,Vellore Village,-79.5555342769805,"$899,900 CAD"
85,456 Kent St,2 baths,3 beds,51.3517897,Scugog,1.0253021,"$500,000 CAD"
86,109 Hartley Dr,3 baths,4 beds,41.5361047755102,Richmond Hill,-72.98288546938775,"$1,487,000 CAD"
87,27 Ruden Cres,5 baths,4+1 beds,43.75843506783873,Parkwoods-Donalda,-79.34353067568406,"$2,288,000 CAD"
88,849 Juniper St,2 baths,4 beds,32.729657,Oshawa,-117.1301538,"$654,000 CAD"
89,754 Downview Cres,2 baths,2+1 beds,43.8869975,Donevan,-78.8117165,"$479,900 CAD"
